example_id                                         | status | run_time        |
-------------------------------------------------- | ------ | --------------- |
./spec/models/contact_spec.rb[1:1:1]               | passed | 0.00084 seconds |
./spec/models/contact_spec.rb[1:2:1]               | passed | 0.00142 seconds |
./spec/models/contact_spec.rb[1:2:2]               | passed | 0.00164 seconds |
./spec/models/contact_spec.rb[1:2:3]               | passed | 0.01199 seconds |
./spec/models/contact_spec.rb[1:2:4]               | passed | 0.0035 seconds  |
./spec/models/contact_spec.rb[1:3:1]               | passed | 0.00074 seconds |
./spec/services/circuit_breaker_spec.rb[1:1:1]     | passed | 0.00242 seconds |
./spec/services/circuit_breaker_spec.rb[1:1:2]     | passed | 0.00187 seconds |
./spec/services/circuit_breaker_spec.rb[1:2:1:1]   | passed | 0.0022 seconds  |
./spec/services/circuit_breaker_spec.rb[1:2:1:2]   | passed | 0.00119 seconds |
./spec/services/circuit_breaker_spec.rb[1:2:1:3]   | passed | 0.00209 seconds |
./spec/services/circuit_breaker_spec.rb[1:2:1:4]   | passed | 0.00358 seconds |
./spec/services/circuit_breaker_spec.rb[1:2:2:1]   | passed | 0.00211 seconds |
./spec/services/circuit_breaker_spec.rb[1:2:3:1]   | passed | 0.00228 seconds |
./spec/services/circuit_breaker_spec.rb[1:2:3:2]   | passed | 0.00283 seconds |
./spec/services/circuit_breaker_spec.rb[1:2:4:1]   | passed | 0.00329 seconds |
./spec/services/circuit_breaker_spec.rb[1:2:4:2]   | passed | 0.00984 seconds |
./spec/services/circuit_breaker_spec.rb[1:3:1]     | passed | 0.00416 seconds |
./spec/services/circuit_breaker_spec.rb[1:4:1]     | passed | 0.00224 seconds |
./spec/services/circuit_breaker_spec.rb[1:4:2]     | passed | 0.0057 seconds  |
./spec/services/circuit_breaker_spec.rb[1:5:1]     | passed | 0.00207 seconds |
./spec/services/circuit_breaker_spec.rb[1:5:2]     | passed | 0.00238 seconds |
./spec/services/circuit_breaker_spec.rb[1:6:1]     | passed | 0.00543 seconds |
./spec/services/mock_crm_client_spec.rb[1:1:1]     | passed | 0.16259 seconds |
./spec/services/mock_crm_client_spec.rb[1:1:2]     | passed | 0.20855 seconds |
./spec/services/mock_crm_client_spec.rb[1:2:1]     | passed | 0.17658 seconds |
./spec/services/mock_crm_client_spec.rb[1:3:1]     | passed | 0.11421 seconds |
./spec/services/mock_crm_client_spec.rb[1:4:1]     | passed | 0.00272 seconds |
./spec/services/mock_crm_client_spec.rb[1:5:1]     | passed | 1.69 seconds    |
./spec/services/rate_limiter_spec.rb[1:1:1]        | passed | 0.00095 seconds |
./spec/services/rate_limiter_spec.rb[1:1:2]        | passed | 0.00106 seconds |
./spec/services/rate_limiter_spec.rb[1:2:1]        | passed | 0.00092 seconds |
./spec/services/rate_limiter_spec.rb[1:3:1:1]      | passed | 0.00133 seconds |
./spec/services/rate_limiter_spec.rb[1:3:2:1]      | passed | 0.00142 seconds |
./spec/services/rate_limiter_spec.rb[1:3:3:1]      | passed | 0.0015 seconds  |
./spec/services/rate_limiter_spec.rb[1:3:4:1]      | passed | 0.00127 seconds |
./spec/services/rate_limiter_spec.rb[1:3:5:1]      | passed | 0.00213 seconds |
./spec/services/rate_limiter_spec.rb[1:4:1]        | passed | 0.00099 seconds |
